GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\2017-05-05 EMP UPDATED windoes reselected - Do not edit pre 29.09.17 612 standard\Run 2.b
Created: Fri Sep 29 18:39:06 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-3,STD610-4,612-3,612-4,BCR-2G-1,SCO-1-1,SCO-2-1,11-01,11-02,11-03,11-04,11-05,11-06,11-07,11-08,11-09,11-10,STD610-5,STD610-6,612-5,612-6,BCR-2G-2,SCO-1-2,SCO-2-2
Li7,472.19,472.90,40.42,39.98,9.49,1.64,2.41,8.09,9.35,8.65,9.02,6.83,7.74,9.11,9.48,9.30,7.78,475.39,470.86,40.22,40.19,9.59,1.770,2.51
B11,240.06,237.56,34.69,33.89,14.83,14.81,15.09,10.88,10.69,10.55,10.25,9.84,9.66,9.20,9.42,9.71,9.69,255.46,255.05,34.89,33.78,13.33,12.90,12.72
Na23,103389.25,100769.25,101840.71,101420.92,24064.17,39.86,100.27,55.08,148.13,62.28,71.53,46.68,53.13,64.27,65.50,68.74,55.57,102086.15,101518.45,101844.72,101442.59,24105.05,39.18,99.77
Mg24,462.61,490.29,67.57,68.27,23918.14,345463.00,349092.56,218726.95,218530.34,224563.31,218319.23,240308.53,221439.16,215728.69,211240.89,211291.95,225212.48,482.90,484.49,70.66,65.67,22973.59,345773.81,341281.59
Mg25,515.70,499.43,68.72,67.08,24068.83,371021.19,370946.31,233028.36,224340.66,231989.00,231432.86,253453.05,235931.20,228502.06,223342.91,222865.58,233686.20,483.72,490.20,72.64,64.09,22722.53,355752.16,353979.69
Mg26,474.66,500.20,66.98,68.95,23775.87,363970.22,361696.38,226987.02,223746.52,228773.66,225578.28,246097.73,232581.80,220317.84,218363.73,220964.09,231917.86,483.46,482.43,70.02,66.08,22994.84,355740.53,352816.66
Al27,10103.13,9995.00,10753.80,10727.81,77034.16,71.06,142.51,118.25,499.37,114.11,121.23,128.59,116.66,121.18,118.01,129.30,105.92,10071.49,10037.94,10849.27,10647.32,75968.70,70.23,138.14
Si29,327454.28,325369.56,336350.13,337517.03,269655.75,193286.20,193286.20,178702.13,174915.81,179122.80,176925.83,180525.11,177580.27,176925.81,177253.02,177159.55,178842.31,329561.28,324387.28,340477.09,333857.91,264811.09,193286.19,193286.20
Si30,319289.03,315878.06,335971.00,338008.28,264937.69,201083.94,200995.30,168666.23,167855.31,172761.28,174043.56,175994.52,173342.42,169571.80,169830.69,167961.23,172825.83,312486.94,315062.78,338402.25,335707.78,261193.72,201369.78,197963.55
P31,431.36,403.51,42.38,51.12,1442.60,19.58,28.40,113.86,213.85,128.76,166.03,49.45,66.51,206.63,219.54,212.73,71.02,406.70,387.34,46.32,46.63,1355.15,16.00,28.18
