GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\For Edit 2017-05-05 EMP UPDATED windoes reselected\Run 2.b
Created: Fri Sep 29 17:43:25 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-3,STD610-4,612-3,612-4,BCR-2G-1,SCO-1-1,SCO-2-1,11-01,11-02,11-03,11-04,11-05,11-06,11-07,11-08,11-09,11-10,STD610-5,STD610-6,612-5,612-6,BCR-2G-2,SCO-1-2,SCO-2-2
Li7,453.40,453.81,38.61,38.16,9.00,1.65,2.41,8.09,9.34,8.63,8.98,6.79,7.68,9.03,9.38,9.18,7.67,452.01,447.45,38.04,37.99,9.00,1.727,2.444
B11,96.01,95.52,13.97,13.72,6.00,6.38,6.54,4.73,4.67,4.64,4.53,4.37,4.31,4.13,4.25,4.40,4.42,113.05,113.63,15.59,15.19,6.00,6.09,6.04
Na23,104236.48,101584.92,102223.51,101792.02,23999.99,42.10,105.78,58.04,155.91,65.48,75.11,48.96,55.66,67.24,68.46,71.75,57.94,102748.37,102166.76,102054.25,101641.13,23999.99,40.56,103.16
Mg24,416.31,442.24,60.83,61.61,21499.98,329759.41,333669.91,209343.89,209436.27,215507.22,209796.69,231238.44,213368.45,208146.58,204091.89,204417.38,218180.08,452.32,454.89,66.22,61.70,21499.99,337719.47,333787.19
Mg25,459.15,446.19,61.34,60.09,21500.00,352306.34,353087.50,222345.27,214572.06,222421.61,222421.70,244169.05,227833.55,221187.14,216709.38,216761.77,227827.00,456.32,463.99,68.70,60.81,21499.99,351786.63,350857.66
Mg26,430.36,454.40,60.71,62.62,21499.99,349354.41,347485.03,218265.34,215343.61,220380.88,217499.14,237498.28,224657.72,213004.25,211306.20,214016.28,224829.27,453.17,453.10,65.61,62.05,21499.99,346750.75,344213.66
Al27,9366.13,9273.28,9943.31,9927.23,70899.96,69.33,139.01,115.32,486.88,111.22,118.13,125.28,113.63,118.00,114.89,125.85,103.07,9466.55,9442.84,10171.63,9990.61,70899.97,68.23,134.18
Si29,310722.72,309072.50,318498.72,319943.50,254299.80,193286.17,193286.17,178702.08,174915.80,179122.77,176925.80,180525.08,177580.23,176925.80,177253.00,177159.52,178842.28,318434.66,313770.41,328300.59,322262.47,254299.81,193286.16,193286.14
Si30,308660.19,305615.06,323957.22,326191.53,254299.89,204608.41,204469.03,171539.97,170674.09,175620.11,176880.92,178820.48,176083.28,172211.38,172432.58,170493.19,175388.59,306394.91,309180.78,330968.03,328609.94,254299.88,204058.02,200557.44
P31,476.38,447.26,46.95,56.84,1600.00,23.10,33.58,134.99,254.19,153.45,198.37,59.24,79.88,248.81,265.04,257.48,86.19,478.13,457.04,54.63,55.19,1600.00,19.72,34.82
Ca43,81905.50,81905.50,84692.11,84692.12,50500.00,372.22,519.00,1818.30,2068.76,1772.24,1799.16,1142.78,1497.49,1696.47,1714.99,1896.86,1777.87,81905.45,81905.45,84692.07,84692.06,50499.98,294.97,440.20
Ca44,83908.95,83094.47,86337.60,85928.93,50499.98,719.44,884.84,2178.33,2356.03,2125.57,2103.67,1490.62,1833.35,2025.06,2035.82,2196.96,2003.89,82309.87,82667.76,86077.59,85726.77,50499.96,731.13,842.27
Sc45,454.38,453.13,42.78,42.67,33.00,5.89,4.98,7.45,6.71,6.95,6.77,7.02,6.78,6.94,6.66,6.82,6.69,447.34,448.29,42.55,42.14,33.00,5.83,4.73
Ti47,455.27,452.53,40.83,42.88,14099.99,7.66,39.61,190.88,206.96,185.76,173.11,111.88,136.29,175.55,165.42,208.42,141.34,460.03,461.45,42.51,43.54,14099.99,5.59,40.95
Ti49,457.72,455.73,40.10,40.70,14100.00,5.19,38.75,188.33,203.22,181.71,169.76,109.40,131.39,174.27,163.79,205.31,137.80,467.02,463.62,40.39,38.25,14099.99,5.59,39.21
V51,452.08,445.61,36.92,37.09,425.00,3.29,6.24,16.87,15.30,17.15,16.90,17.32,17.19,16.84,18.11,16.99,17.00,458.27,446.22,37.96,37.34,425.00,3.30,6.15
Cr53,433.20,431.62,39.05,38.54,17.00,155.86,293.40,26.64,26.87,26.83,33.84,63.12,40.27,27.78,33.57,29.91,29.66,479.59,468.53,39.23,40.68,17.00,167.34,319.86
Mn55,444.49,446.66,37.73,38.08,1550.00,1145.53,988.13,4429.00,4240.10,4518.46,4563.81,3806.53,4300.84,4437.90,4289.59,4407.90,4354.14,454.09,447.86,38.90,38.59,1550.00,1143.07,998.74
Co59,411.08,409.15,34.07,33.89,38.00,154.33,156.57,230.21,219.23,232.78,239.77,227.63,236.84,235.41,232.98,232.32,238.42,424.44,421.25,35.22,35.15,38.00,156.29,159.47
Ni60,476.65,479.77,38.71,39.06,13.00,3421.59,3563.30,406.39,426.00,423.99,430.64,447.42,439.92,432.81,429.49,428.50,431.73,496.74,487.67,42.83,41.13,13.00,3458.17,3593.70
Ni62,388.20,381.05,32.83,29.96,13.00,2743.75,2896.24,332.58,331.55,340.68,352.99,362.28,371.16,345.04,346.67,346.52,347.87,394.61,395.17,35.33,34.12,13.00,2835.84,2863.05
Cu63,513.14,512.73,42.69,41.90,21.00,1.210,4.81,1.052,1.485,1.142,1.171,0.871,1.042,1.166,1.150,1.191,1.057,522.30,525.20,48.60,42.40,21.00,1.027,5.12
Zn66,333.30,330.03,27.15,27.50,125.00,42.77,49.83,212.32,206.11,220.28,231.15,224.29,223.07,223.55,225.51,220.75,223.51,337.22,338.66,30.81,29.18,125.00,43.60,50.21
