GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\2017-05-05 EMP UPDATED windoes reselected - Do not edit pre 29.09.17 612 standard\Run 6.b
Created: Fri Sep 29 18:43:55 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-11,STD610-12,612-11,612-12,BCR-2G-5,SCO-1-5,SCO-2-5,24-01,24-02,24-03,24-04,24-05,24-06,24-07,24-08,STD610-13,STD610-14,612-13,612-14,BCR-2G-6,SCO-1-6,SCO-2-6
Li7,463.54,475.31,40.25,40.13,9.58,1.802,2.459,5.08,5.10,5.37,4.69,7.10,5.49,4.34,2.523,471.10,476.74,40.64,39.82,9.51,1.808,2.63
B11,243.24,243.59,35.02,33.63,15.53,14.52,13.52,10.02,9.26,8.39,12.56,9.44,7.92,12.34,9.91,261.69,264.40,34.65,34.04,12.93,10.95,10.93
Na23,99438.26,102184.12,102391.65,100851.29,23668.96,39.38,100.50,89.10,92.60,90.64,98.59,2325.50,2039.29,69.96,86.01,99990.16,101476.10,103203.16,100353.88,23211.92,40.63,101.05
Mg24,493.20,490.51,68.54,67.50,24258.54,356298.22,352599.53,298617.16,305105.69,299955.75,292858.47,107683.84,111082.66,326891.44,326204.13,489.71,492.30,68.10,67.95,23900.11,361227.69,359939.66
Mg25,514.40,517.03,69.03,66.94,24810.44,385969.88,379096.41,327011.78,331009.66,317482.78,317652.44,115827.15,118898.95,344498.16,342661.53,517.22,526.43,70.14,66.28,24618.61,383246.44,388574.56
Mg26,498.09,500.60,69.72,66.43,24438.11,376008.31,366162.91,313875.09,325161.84,308576.84,309776.84,114653.67,115990.73,341907.59,332132.88,492.48,510.67,68.12,68.00,24191.22,377733.94,380242.34
Al27,10058.96,10047.88,10783.79,10704.64,76679.65,66.72,133.73,71.95,94.70,71.39,218.06,11673.36,8635.22,94.11,82.26,9923.18,9987.38,10771.71,10721.35,76824.91,69.29,135.28
Si29,321592.69,319784.81,339371.94,334616.88,264510.00,193286.20,193286.20,187349.73,183797.19,184264.61,185059.27,234327.39,235495.98,188331.34,186975.77,320224.06,323200.63,342305.56,332746.53,258670.89,193286.19,193286.19
Si30,312596.97,309820.91,340205.22,333811.63,260411.42,203871.73,199944.94,178526.06,178196.48,174551.53,196513.03,221763.78,224577.53,196525.27,188991.13,307811.69,312219.69,343723.69,331683.28,255698.28,201705.70,202804.92
P31,373.69,374.91,46.31,46.90,1320.55,17.99,27.39,73.68,84.08,83.13,64.63,20.54,21.69,39.55,68.38,396.06,394.13,45.42,47.51,1375.48,15.76,28.35
Ca43,81905.42,81905.44,85049.40,85049.40,51029.65,364.30,504.22,1884.75,1095.77,1128.90,2634.87,158744.86,150821.47,1420.48,1160.05,81905.46,81905.47,85049.45,85049.45,51029.66,378.40,516.68
Ca44,82238.47,81735.67,84840.25,85232.00,50683.30,720.44,820.50,2130.47,1361.85,1429.15,2989.08,161478.34,151113.94,1734.84,1413.92,81296.02,83190.51,85338.43,84781.04,50879.64,689.58,818.30
Sc45,424.54,423.98,40.26,39.56,31.45,5.29,4.29,4.82,4.48,4.20,5.15,63.80,64.76,4.98,4.61,425.01,435.66,40.04,39.79,31.58,4.97,4.05
Ti47,452.06,455.24,44.66,43.39,14270.61,6.14,36.46,154.87,126.76,106.78,235.66,11220.85,9249.49,127.37,98.46,479.53,484.82,43.92,44.12,15164.11,6.95,40.20
Ti49,490.92,487.30,44.83,43.33,15204.54,6.23,39.55,160.47,137.86,106.19,256.72,11743.39,9569.33,127.80,102.33,494.56,497.99,42.24,45.72,15576.26,6.49,40.04
V51,453.48,461.23,38.91,38.66,434.37,3.23,6.18,3.29,4.35,4.26,4.77,101.90,89.44,3.73,4.12,469.82,465.57,39.42,38.28,434.36,3.37,6.29
Cr53,411.54,413.70,36.99,35.82,14.96,138.02,264.66,70.76,234.26,227.42,71.79,149.64,77.76,216.48,240.75,422.81,431.11,37.20,35.76,15.44,144.21,273.34
Mn55,444.53,446.91,38.90,38.48,1576.78,1126.76,969.21,3346.44,2116.25,2452.38,3277.18,691.31,730.87,1830.53,1942.80,438.44,443.67,39.23,38.26,1554.19,1120.80,978.38
Co59,419.51,429.46,35.64,35.37,39.87,155.34,155.54,228.13,203.57,208.47,218.53,31.88,30.05,187.21,207.60,421.27,424.41,35.60,35.42,38.03,157.03,157.23
Ni60,475.04,468.39,39.63,37.97,12.39,3219.12,3334.71,1084.42,1659.81,1630.71,804.74,77.83,70.09,1466.37,1696.70,451.58,461.60,40.30,37.62,11.58,3143.26,3246.03
Ni62,457.52,455.53,38.07,39.53,15.49,3198.06,3285.49,1098.97,1620.39,1615.92,813.23,78.25,73.04,1432.97,1642.73,459.01,470.60,38.61,38.92,17.08,3213.25,3319.57
Cu63,452.31,449.31,38.95,36.75,18.74,0.985,4.48,0.721,3.19,16.27,1.188,2.001,1.566,2.05,4.88,456.84,462.91,38.44,37.32,18.59,0.969,4.35
Zn66,469.41,458.56,39.48,38.69,180.40,58.92,70.61,161.45,123.40,138.34,159.28,23.61,22.36,102.65,117.60,468.32,473.79,40.24,38.17,170.42,59.28,69.27
Zn67,447.36,440.85,37.64,40.53,214.04,50.98,61.87,137.89,107.56,128.03,141.00,20.36,19.89,92.62,106.96,457.23,455.56,40.68,37.67,207.79,55.30,65.02
Ga69,444.06,437.22,37.13,36.65,71.07,0.0353,0.105,0.154,0.186,0.130,0.367,6.37,5.55,0.097,0.0886,443.55,445.24,37.61,36.31,67.68,0.0374,0.102
Sr88,504.77,505.19,77.98,78.76,327.29,<0.0152,<0.0038,0.1285,0.1331,0.1234,0.797,281.41,302.80,0.0266,0.0173,510.46,506.93,79.08,77.78,333.56,<0.0168,0.0066
Y89,451.31,455.79,37.89,38.67,28.27,0.0340,0.0259,0.0756,0.0308,0.0395,0.167,2.80,2.64,0.151,0.0136,459.11,471.65,38.73,37.90,29.65,0.0180,0.0625
Zr90,433.40,438.30,37.76,38.02,157.88,0.068,0.0251,0.180,0.454,0.120,2.47,48.89,57.55,13.69,1.187,436.95,443.14,38.11,37.70,159.06,0.093,0.049
Nb93,453.80,457.30,39.14,38.66,12.89,<0.0095,<0.0107,1.690,1.521,0.474,8.92,1.089,0.827,0.0246,<0.0040,460.70,465.50,39.26,38.60,12.86,0.0051,<0.0072
Ba135,439.55,435.54,39.88,38.78,671.31,<0.076,<0.063,0.616,0.396,0.106,3.10,0.508,0.401,<0.091,0.0092,426.75,436.42,39.01,39.60,665.15,<0.076,<0.088
Ba137,447.37,445.03,39.34,39.25,678.17,<0.054,<0.037,0.675,0.475,0.095,2.82,0.316,0.360,0.0171,0.0053,427.62,432.72,39.50,39.13,662.02,<0.061,<0.00
La139,427.54,432.45,36.18,35.82,23.55,<0.00,0.0023,0.0701,0.0632,0.0369,0.261,8.86,6.74,0.0059,0.0265,431.98,435.88,36.18,35.86,23.70,<0.0113,<0.0108
Ce140,452.72,455.32,38.34,38.44,51.29,<0.0052,<0.0068,0.295,0.477,0.185,0.491,36.51,26.71,0.353,0.0923,451.42,458.42,38.69,38.14,50.97,<0.0051,<0.00
Gd157,430.17,439.15,37.03,37.54,6.13,<0.0219,<0.0184,<0.0126,0.0193,0.0117,<0.021,1.953,1.680,<0.044,0.019,442.14,448.99,37.60,37.02,5.68,0.0076,<0.0216
Yb172,454.91,464.61,39.07,39.33,2.89,0.0193,0.0123,0.0196,<0.0088,<0.0127,0.026,0.157,0.169,<0.033,0.0095,455.47,465.63,39.17,39.22,2.87,<0.028,0.0208

GLITTER!: Trace Element Concentrations, Not filtered for MDL.
Element,STD610-11,STD610-12,612-11,612-12,BCR-2G-5,SCO-1-5,SCO-2-5,24-01,24-02,24-03,24-04,24-05,24-06,24-07,24-08,STD610-13,STD610-14,612-13,612-14,BCR-2G-6,SCO-1-6,SCO-2-6
Li7,463.54,475.31,40.25,40.13,9.58,1.802,2.459,5.08,5.10,5.37,4.69,7.10,5.49,4.34,2.523,471.10,476.74,40.64,39.82,9.51,1.808,2.63
B11,243.24,243.59,35.02,33.63,15.53,14.52,13.52,10.02,9.26,8.39,12.56,9.44,7.92,12.34,9.91,261.69,264.40,34.65,34.04,12.93,10.95,10.93
Na23,99438.26,102184.12,102391.65,100851.29,23668.96,39.38,100.50,89.10,92.60,90.64,98.59,2325.50,2039.29,69.96,86.01,99990.16,101476.10,103203.16,100353.88,23211.92,40.63,101.05
Mg24,493.20,490.51,68.54,67.50,24258.54,356298.22,352599.53,298617.16,305105.69,299955.75,292858.47,107683.84,111082.66,326891.44,326204.13,489.71,492.30,68.10,67.95,23900.11,361227.69,359939.66
Mg25,514.40,517.03,69.03,66.94,24810.44,385969.88,379096.41,327011.78,331009.66,317482.78,317652.44,115827.15,118898.95,344498.16,342661.53,517.22,526.43,70.14,66.28,24618.61,383246.44,388574.56
Mg26,498.09,500.60,69.72,66.43,24438.11,376008.31,366162.91,313875.09,325161.84,308576.84,309776.84,114653.67,115990.73,341907.59,332132.88,492.48,510.67,68.12,68.00,24191.22,377733.94,380242.34
Al27,10058.96,10047.88,10783.79,10704.64,76679.65,66.72,133.73,71.95,94.70,71.39,218.06,11673.36,8635.22,94.11,82.26,9923.18,9987.38,10771.71,10721.35,76824.91,69.29,135.28
Si29,321592.69,319784.81,339371.94,334616.88,264510.00,193286.20,193286.20,187349.73,183797.19,184264.61,185059.27,234327.39,235495.98,188331.34,186975.77,320224.06,323200.63,342305.56,332746.53,258670.89,193286.19,193286.19
Si30,312596.97,309820.91,340205.22,333811.63,260411.42,203871.73,199944.94,178526.06,178196.48,174551.53,196513.03,221763.78,224577.53,196525.27,188991.13,307811.69,312219.69,343723.69,331683.28,255698.28,201705.70,202804.92
P31,373.69,374.91,46.31,46.90,1320.55,17.99,27.39,73.68,84.08,83.13,64.63,20.54,21.69,39.55,68.38,396.06,394.13,45.42,47.51,1375.48,15.76,28.35
Ca43,81905.42,81905.44,85049.40,85049.40,51029.65,364.30,504.22,1884.75,1095.77,1128.90,2634.87,158744.86,150821.47,1420.48,1160.05,81905.46,81905.47,85049.45,85049.45,51029.66,378.40,516.68
Ca44,82238.47,81735.67,84840.25,85232.00,50683.30,720.44,820.50,2130.47,1361.85,1429.15,2989.08,161478.34,151113.94,1734.84,1413.92,81296.02,83190.51,85338.43,84781.04,50879.64,689.58,818.30
Sc45,424.54,423.98,40.26,39.56,31.45,5.29,4.29,4.82,4.48,4.20,5.15,63.80,64.76,4.98,4.61,425.01,435.66,40.04,39.79,31.58,4.97,4.05
Ti47,452.06,455.24,44.66,43.39,14270.61,6.14,36.46,154.87,126.76,106.78,235.66,11220.85,9249.49,127.37,98.46,479.53,484.82,43.92,44.12,15164.11,6.95,40.20
Ti49,490.92,487.30,44.83,43.33,15204.54,6.23,39.55,160.47,137.86,106.19,256.72,11743.39,9569.33,127.80,102.33,494.56,497.99,42.24,45.72,15576.26,6.49,40.04
V51,453.48,461.23,38.91,38.66,434.37,3.23,6.18,3.29,4.35,4.26,4.77,101.90,89.44,3.73,4.12,469.82,465.57,39.42,38.28,434.36,3.37,6.29
Cr53,411.54,413.70,36.99,35.82,14.96,138.02,264.66,70.76,234.26,227.42,71.79,149.64,77.76,216.48,240.75,422.81,431.11,37.20,35.76,15.44,144.21,273.34
Mn55,444.53,446.91,38.90,38.48,1576.78,1126.76,969.21,3346.44,2116.25,2452.38,3277.18,691.31,730.87,1830.53,1942.80,438.44,443.67,39.23,38.26,1554.19,1120.80,978.38
Co59,419.51,429.46,35.64,35.37,39.87,155.34,155.54,228.13,203.57,208.47,218.53,31.88,30.05,187.21,207.60,421.27,424.41,35.60,35.42,38.03,157.03,157.23
Ni60,475.04,468.39,39.63,37.97,12.39,3219.12,3334.71,1084.42,1659.81,1630.71,804.74,77.83,70.09,1466.37,1696.70,451.58,461.60,40.30,37.62,11.58,3143.26,3246.03
Ni62,457.52,455.53,38.07,39.53,15.49,3198.06,3285.49,1098.97,1620.39,1615.92,813.23,78.25,73.04,1432.97,1642.73,459.01,470.60,38.61,38.92,17.08,3213.25,3319.57
Cu63,452.31,449.31,38.95,36.75,18.74,0.985,4.48,0.721,3.19,16.27,1.188,2.001,1.566,2.05,4.88,456.84,462.91,38.44,37.32,18.59,0.969,4.35
Zn66,469.41,458.56,39.48,38.69,180.40,58.92,70.61,161.45,123.40,138.34,159.28,23.61,22.36,102.65,117.60,468.32,473.79,40.24,38.17,170.42,59.28,69.27
Zn67,447.36,440.85,37.64,40.53,214.04,50.98,61.87,137.89,107.56,128.03,141.00,20.36,19.89,92.62,106.96,457.23,455.56,40.68,37.67,207.79,55.30,65.02
Ga69,444.06,437.22,37.13,36.65,71.07,0.0353,0.105,0.154,0.186,0.130,0.367,6.37,5.55,0.097,0.0886,443.55,445.24,37.61,36.31,67.68,0.0374,0.102
Sr88,504.77,505.19,77.98,78.76,327.29,-0.0054,0.0019,0.1285,0.1331,0.1234,0.797,281.41,302.80,0.0266,0.0173,510.46,506.93,79.08,77.78,333.56,-0.0139,0.0066
Y89,451.31,455.79,37.89,38.67,28.27,0.0340,0.0259,0.0756,0.0308,0.0395,0.167,2.80,2.64,0.151,0.0136,459.11,471.65,38.73,37.90,29.65,0.0180,0.0625
Zr90,433.40,438.30,37.76,38.02,157.88,0.068,0.0251,0.180,0.454,0.120,2.47,48.89,57.55,13.69,1.187,436.95,443.14,38.11,37.70,159.06,0.093,0.049
Nb93,453.80,457.30,39.14,38.66,12.89,0.0001,-0.0064,1.690,1.521,0.474,8.92,1.089,0.827,0.0246,-0.0002,460.70,465.50,39.26,38.60,12.86,0.0051,0.0035
Ba135,439.55,435.54,39.88,38.78,671.31,0.001,0.052,0.616,0.396,0.106,3.10,0.508,0.401,0.040,0.0092,426.75,436.42,39.01,39.60,665.15,-0.015,-0.020
Ba137,447.37,445.03,39.34,39.25,678.17,-0.024,0.010,0.675,0.475,0.095,2.82,0.316,0.360,0.0171,0.0053,427.62,432.72,39.50,39.13,662.02,-0.017,0.00
La139,427.54,432.45,36.18,35.82,23.55,0.00,0.0023,0.0701,0.0632,0.0369,0.261,8.86,6.74,0.0059,0.0265,431.98,435.88,36.18,35.86,23.70,-0.0062,-0.0012
Ce140,452.72,455.32,38.34,38.44,51.29,0.0006,0.0019,0.295,0.477,0.185,0.491,36.51,26.71,0.353,0.0923,451.42,458.42,38.69,38.14,50.97,-0.0004,0.00
Gd157,430.17,439.15,37.03,37.54,6.13,-0.0068,-0.0020,0.0104,0.0193,0.0117,0.021,1.953,1.680,0.006,0.019,442.14,448.99,37.60,37.02,5.68,0.0076,-0.0029
Yb172,454.91,464.61,39.07,39.33,2.89,0.0193,0.0123,0.0196,0.0068,-0.0006,0.026,0.157,0.169,0.005,0.0095,455.47,465.63,39.17,39.22,2.87,0.018,0.0208

GLITTER!: Trace Element Concentrations LOQ filtered.
Element,STD610-11,STD610-12,612-11,612-12,BCR-2G-5,SCO-1-5,SCO-2-5,24-01,24-02,24-03,24-04,24-05,24-06,24-07,24-08,STD610-13,STD610-14,612-13,612-14,BCR-2G-6,SCO-1-6,SCO-2-6
Li7,463.54,475.31,40.25,40.13,9.58,1.802,2.459,5.08,5.10,5.37,4.69,7.10,5.49,4.34,2.523,471.10,476.74,40.64,39.82,9.51,1.808,2.63
B11,243.24,243.59,35.02,33.63,15.53,14.52,13.52,10.02,9.26,8.39,12.56,9.44,7.92,12.34,9.91,261.69,264.40,34.65,34.04,12.93,10.95,10.93
Na23,99438.26,102184.12,102391.65,100851.29,23668.96,39.38,100.50,89.10,92.60,90.64,98.59,2325.50,2039.29,69.96,86.01,99990.16,101476.10,103203.16,100353.88,23211.92,40.63,101.05
Mg24,493.20,490.51,68.54,67.50,24258.54,356298.22,352599.53,298617.16,305105.69,299955.75,292858.47,107683.84,111082.66,326891.44,326204.13,489.71,492.30,68.10,67.95,23900.11,361227.69,359939.66
Mg25,514.40,517.03,69.03,66.94,24810.44,385969.88,379096.41,327011.78,331009.66,317482.78,317652.44,115827.15,118898.95,344498.16,342661.53,517.22,526.43,70.14,66.28,24618.61,383246.44,388574.56
Mg26,498.09,500.60,69.72,66.43,24438.11,376008.31,366162.91,313875.09,325161.84,308576.84,309776.84,114653.67,115990.73,341907.59,332132.88,492.48,510.67,68.12,68.00,24191.22,377733.94,380242.34
Al27,10058.96,10047.88,10783.79,10704.64,76679.65,66.72,133.73,71.95,94.70,71.39,218.06,11673.36,8635.22,94.11,82.26,9923.18,9987.38,10771.71,10721.35,76824.91,69.29,135.28
Si29,321592.69,319784.81,339371.94,334616.88,264510.00,193286.20,193286.20,187349.73,183797.19,184264.61,185059.27,234327.39,235495.98,188331.34,186975.77,320224.06,323200.63,342305.56,332746.53,258670.89,193286.19,193286.19
Si30,312596.97,309820.91,340205.22,333811.63,260411.42,203871.73,199944.94,178526.06,178196.48,174551.53,196513.03,221763.78,224577.53,196525.27,188991.13,307811.69,312219.69,343723.69,331683.28,255698.28,201705.70,202804.92
P31,373.69,374.91,46.31,46.90,1320.55,17.99,27.39,73.68,84.08,83.13,64.63,20.54,21.69,39.55,68.38,396.06,394.13,45.42,47.51,1375.48,15.76,28.35
Ca43,81905.42,81905.44,85049.40,85049.40,51029.65,364.30,504.22,1884.75,1095.77,1128.90,2634.87,158744.86,150821.47,1420.48,1160.05,81905.46,81905.47,85049.45,85049.45,51029.66,378.40,516.68
Ca44,82238.47,81735.67,84840.25,85232.00,50683.30,720.44,820.50,2130.47,1361.85,1429.15,2989.08,161478.34,151113.94,1734.84,1413.92,81296.02,83190.51,85338.43,84781.04,50879.64,689.58,818.30
Sc45,424.54,423.98,40.26,39.56,31.45,5.29,4.29,4.82,4.48,4.20,5.15,63.80,64.76,4.98,4.61,425.01,435.66,40.04,39.79,31.58,4.97,4.05
Ti47,452.06,455.24,44.66,43.39,14270.61,6.14,36.46,154.87,126.76,106.78,235.66,11220.85,9249.49,127.37,98.46,479.53,484.82,43.92,44.12,15164.11,6.95,40.20
Ti49,490.92,487.30,44.83,43.33,15204.54,6.23,39.55,160.47,137.86,106.19,256.72,11743.39,9569.33,127.80,102.33,494.56,497.99,42.24,45.72,15576.26,6.49,40.04
V51,453.48,461.23,38.91,38.66,434.37,3.23,6.18,3.29,4.35,4.26,4.77,101.90,89.44,3.73,4.12,469.82,465.57,39.42,38.28,434.36,3.37,6.29
Cr53,411.54,413.70,36.99,35.82,14.96,138.02,264.66,70.76,234.26,227.42,71.79,149.64,77.76,216.48,240.75,422.81,431.11,37.20,35.76,15.44,144.21,273.34
Mn55,444.53,446.91,38.90,38.48,1576.78,1126.76,969.21,3346.44,2116.25,2452.38,3277.18,691.31,730.87,1830.53,1942.80,438.44,443.67,39.23,38.26,1554.19,1120.80,978.38
Co59,419.51,429.46,35.64,35.37,39.87,155.34,155.54,228.13,203.57,208.47,218.53,31.88,30.05,187.21,207.60,421.27,424.41,35.60,35.42,38.03,157.03,157.23
Ni60,475.04,468.39,39.63,37.97,12.39,3219.12,3334.71,1084.42,1659.81,1630.71,804.74,77.83,70.09,1466.37,1696.70,451.58,461.60,40.30,37.62,11.58,3143.26,3246.03
Ni62,457.52,455.53,38.07,39.53,15.49,3198.06,3285.49,1098.97,1620.39,1615.92,813.23,78.25,73.04,1432.97,1642.73,459.01,470.60,38.61,38.92,17.08,3213.25,3319.57
Cu63,452.31,449.31,38.95,36.75,18.74,0.985,4.48,0.721,3.19,16.27,1.188,2.001,1.566,2.05,4.88,456.84,462.91,38.44,37.32,18.59,0.969,4.35
