GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\For Edit 2017-05-05 EMP UPDATED windoes reselected\Run 6.b
Created: Fri Sep 29 17:58:03 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-11,STD610-12,612-11,612-12,BCR-2G-5,SCO-1-5,SCO-2-5,24-01,24-02,24-03,24-04,24-05,24-06,24-07,24-08,STD610-13,STD610-14,612-13,612-14,BCR-2G-6,SCO-1-6,SCO-2-6
Li7,439.22,450.59,38.01,37.92,9.00,1.759,2.398,4.95,4.96,5.22,4.56,6.89,5.32,4.20,2.441,449.61,455.22,38.66,37.90,9.00,1.738,2.526
B11,91.46,92.43,13.36,12.95,6.00,5.89,5.53,4.14,3.86,3.53,5.34,4.06,3.44,5.42,4.40,115.92,118.71,15.71,15.66,6.00,5.23,5.30
Na23,101364.20,104296.92,104203.34,102767.77,23999.99,41.53,105.96,93.92,97.59,95.51,103.87,2449.47,2147.59,73.66,90.54,103923.80,105606.07,107092.13,104271.94,23999.99,42.73,106.24
Mg24,440.02,438.04,61.00,60.14,21499.99,328270.09,324693.16,274839.59,280664.44,275782.25,269115.25,98901.29,101968.95,299912.72,299123.09,443.35,446.14,61.52,61.44,21499.99,330174.69,328819.38
Mg25,449.54,452.06,60.13,58.34,21500.00,347603.50,341090.81,293949.41,297261.09,284842.66,284723.78,103721.31,106370.43,307903.38,305968.53,455.47,463.83,61.57,58.22,21499.99,340234.00,344629.72
Mg26,441.66,444.17,61.64,58.77,21500.00,343835.16,334552.69,286538.88,296593.66,281229.13,282084.84,104316.16,105443.28,310552.81,301417.69,441.06,457.66,60.83,60.77,21499.99,341039.25,343006.63
Al27,9402.95,9391.44,10035.69,9960.81,70899.99,64.05,128.17,68.84,90.47,68.08,207.64,11097.02,8195.37,89.17,77.82,9258.68,9317.39,10005.59,9957.54,70899.98,64.90,126.49
Si29,310599.19,309304.03,327348.06,323234.38,254299.83,193286.20,193286.20,187349.73,183797.19,184264.61,185059.27,234327.41,235495.98,188331.36,186975.78,316207.88,319625.88,337603.75,328670.13,254299.83,193286.20,193286.20
Si30,307005.53,304637.91,333502.28,327622.78,254299.94,207037.84,202997.58,181204.77,180823.36,177078.72,199306.41,224857.59,227651.33,199163.17,191477.92,307811.31,312604.22,343124.84,331516.13,254299.89,204038.70,205096.64
P31,462.21,462.56,56.76,57.32,1600.00,22.58,34.24,91.74,104.26,102.65,79.48,25.15,26.45,48.02,82.67,470.82,467.22,53.47,55.77,1600.00,18.57,33.24
Ca43,81905.44,81905.44,84692.05,84692.05,50499.98,374.34,517.32,1930.79,1120.82,1152.94,2686.90,161633.20,153332.69,1441.95,1175.80,81905.44,81905.44,84692.05,84692.05,50499.97,380.09,518.21
Ca44,82884.90,82357.20,85104.52,85475.70,50499.98,745.16,847.14,2195.77,1401.10,1467.74,3064.39,165254.08,154374.47,1769.14,1439.34,81620.38,83500.77,85274.70,84695.73,50499.98,694.61,822.81
