C:\Data\2017\Elkhaligi_Momo\2017-05-04\run1.b\32-01.d
Intensity Vs Time,Counts
Acquired      : 4/05/2017 12:07:37 PM using Batch run1.b
Time [Sec],Li7,B11,Na23,Mg24,Mg25,Mg26,Al27,Si29,Si30,P31,Ca43,Ca44,Sc45,Ti47,Ti49,V51,Cr53,Mn55,Co59,Ni60,Ni62,Cu63,Zn66,Zn67,Ga69,Sr88,Y89,Zr90,Nb93,Ba135,Ba137,La139,Ce140,Gd157,Yb172
1.0778,123.02,43.00,696.51,10.00,2.00,40.00,15.00,1217.34,29246.84,341.12,5.00,271.12,27.00,0.00,7.00,4.00,2.00,86.01,0.00,0.00,2.00,0.00,1.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2.1458,127.02,62.00,721.55,9.00,3.00,43.00,11.00,1209.31,31652.42,333.12,4.00,218.08,12.00,2.00,0.00,0.00,1.00,83.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.2138,116.01,48.00,688.50,8.00,1.00,39.00,8.00,1307.71,30901.07,333.12,7.00,267.11,21.00,0.00,3.00,0.00,2.00,104.01,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.2819,117.01,70.01,628.42,5.00,1.00,37.00,13.00,1330.80,31379.01,371.15,0.00,258.11,15.00,1.00,5.00,0.00,5.00,87.01,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00
5.3509,135.02,38.00,698.51,9.00,1.00,39.00,11.00,1317.75,31347.05,345.13,9.00,271.12,18.00,1.00,1.00,6.00,9.00,95.01,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.4189,131.02,47.00,732.56,5.00,3.00,36.00,11.00,1360.93,31660.14,282.08,8.00,270.12,9.00,2.00,2.00,2.00,10.00,105.01,0.00,0.00,0.00,3.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.4870,118.01,47.00,780.64,7.00,4.00,47.00,17.00,1378.00,31100.31,347.13,5.00,261.11,10.00,2.00,5.00,4.00,4.00,105.01,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.5545,157.03,30.00,660.46,3.00,0.00,54.00,16.00,1363.94,30782.24,335.12,2.00,273.12,21.00,0.00,0.00,2.00,4.00,95.01,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.6225,101.01,56.00,702.52,9.00,2.00,48.00,12.00,1309.71,32273.97,369.14,6.00,285.13,12.00,4.00,4.00,1.00,5.00,93.01,0.00,0.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.6906,126.02,60.00,669.47,4.00,0.00,43.00,16.00,1357.92,30969.30,373.15,6.00,282.13,28.00,1.00,4.00,4.00,2.00,90.01,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
