GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\2017-05-05 EMP UPDATED windoes reselected - Do not edit pre 29.09.17 612 standard\Run 1.b
Created: Fri Sep 29 18:38:03 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-1,STD610-2,612-1,612-2,BCR-2G,SCO-1,SCO-2,39-01,39-02,39-03,39-04,39-05,39-06,39-07,39-08,39-09,39-10,STD610-3,STD610-4,612-3,612-4,BCR-2G-1,SCO-1-1,SCO-2-1
Li7,471.16,475.50,40.17,40.22,10.08,1.85,2.335,2.713,2.873,2.951,4.80,3.25,2.793,2.790,2.616,2.483,2.731,475.22,476.28,40.33,40.07,9.50,1.749,2.437
B11,187.94,190.34,34.36,34.22,17.82,21.31,20.61,13.08,13.53,12.82,12.17,11.66,11.54,11.34,11.69,12.06,11.79,231.34,233.02,34.57,34.05,15.16,15.36,15.99
Na23,101595.31,102755.52,101787.51,101459.76,25101.71,39.06,100.97,118.28,110.53,121.34,176.90,143.50,111.68,112.75,111.06,134.44,103.44,104072.95,101369.41,101924.11,101366.19,24062.85,39.71,100.00
Mg24,506.86,500.62,67.84,68.19,24350.78,353219.59,345221.69,323750.00,324839.25,331419.56,317869.25,315287.91,321172.16,318355.19,323143.47,332992.97,328762.53,462.62,489.76,67.63,68.34,23968.54,347608.84,349909.56
Mg25,532.31,536.19,69.31,66.66,25393.14,379178.91,375261.28,348859.97,349902.47,354031.84,343361.13,342143.88,344431.56,346040.72,346459.44,363188.13,350748.13,514.86,500.85,69.20,67.00,24345.13,375512.63,376192.59
Mg26,519.67,530.97,67.98,68.07,25656.33,372497.31,368949.13,338455.56,346720.50,343934.13,333046.66,330928.56,332826.34,332985.91,336688.69,352342.97,337043.97,478.36,505.28,67.05,68.95,24032.02,367069.94,364560.78
Al27,10044.45,10110.60,10739.83,10746.70,76030.35,68.50,137.64,97.05,80.89,87.01,90.01,82.23,183.95,68.61,103.43,181.87,105.11,10097.83,10001.76,10760.06,10727.65,76998.89,69.28,142.44
Si29,323640.16,326780.06,338102.34,335981.03,275052.00,193286.17,193286.17,188331.33,188752.02,188752.02,188097.61,188191.05,188191.06,189266.20,188985.72,192538.27,189032.47,327539.44,326078.84,336693.41,337455.50,270027.59,193286.13,193286.13
Si30,312183.22,316187.72,337612.78,336455.28,271664.50,206670.30,200601.08,175191.08,184244.48,181928.55,180374.19,177956.73,177848.08,178231.13,179860.17,181467.23,180572.42,318866.97,315233.03,337129.72,336999.38,264452.50,202118.22,200051.28
P31,354.24,363.67,47.61,45.81,1346.48,19.61,26.22,51.23,52.96,62.42,101.46,62.27,60.96,58.37,55.94,35.49,57.82,419.35,397.76,41.62,51.40,1463.83,19.96,30.41
Ca43,81905.46,81905.47,85049.44,85049.44,51029.66,428.48,514.77,1304.20,1712.56,1354.95,1309.04,1541.10,1427.60,1759.74,1443.35,1007.58,1941.54,81905.45,81905.45,85049.42,85049.42,51029.65,327.03,475.74
Ca44,81938.29,82461.46,84940.77,85148.94,50141.81,725.04,859.22,1647.58,1994.43,1670.25,1643.64,1820.97,1771.69,2114.36,1737.46,1342.72,2222.35,82541.19,81987.80,85323.02,84782.28,50166.04,672.79,835.28
Sc45,394.85,393.23,39.92,39.88,31.58,6.31,5.27,4.96,5.32,5.18,4.90,5.05,5.02,5.17,5.13,4.59,5.42,419.81,420.48,39.90,39.90,31.16,5.32,4.41
