GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\For Edit 2017-05-05 EMP UPDATED windoes reselected\Run 1.b
Created: Fri Sep 29 17:42:01 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-1,STD610-2,612-1,612-2,BCR-2G,SCO-1,SCO-2,39-01,39-02,39-03,39-04,39-05,39-06,39-07,39-08,39-09,39-10,STD610-3,STD610-4,612-3,612-4,BCR-2G-1,SCO-1-1,SCO-2-1
Li7,419.27,424.58,35.84,36.01,9.00,1.79,2.265,2.639,2.800,2.884,4.70,3.19,2.749,2.752,2.587,2.461,2.713,448.44,451.01,38.17,38.05,9.00,1.763,2.462
B11,62.39,63.55,11.49,11.52,6.00,7.81,7.60,4.85,5.06,4.82,4.61,4.45,4.44,4.40,4.57,4.76,4.70,88.05,89.72,13.41,13.38,6.00,6.54,6.90
Na23,97182.95,98537.69,97441.44,97369.66,23999.98,40.45,104.71,122.83,114.95,126.37,184.49,149.87,116.80,118.08,116.48,141.19,108.79,103852.20,101406.14,101785.29,101480.03,23999.99,42.12,106.20
Mg24,450.56,445.42,60.16,60.52,21499.99,337258.97,329572.81,309027.84,310020.78,316253.22,303277.19,300768.94,306335.94,303603.16,308122.94,317466.53,313385.91,417.75,442.68,60.93,61.63,21499.99,331049.19,333189.66
Mg25,451.10,455.46,58.77,56.65,21499.99,347752.06,344627.50,320818.59,322217.47,326467.25,317062.66,316374.16,318929.78,320863.81,321698.38,337701.16,326589.63,454.82,443.57,61.18,59.39,21500.00,352615.53,353756.59
Mg26,433.57,444.63,56.90,57.18,21499.99,338534.16,336222.81,309276.22,317695.78,316007.25,306845.38,305734.47,308337.44,309339.84,313648.31,329145.03,315731.91,425.69,451.42,59.89,61.82,21499.99,349707.94,348303.69
Al27,9492.73,9548.25,10092.47,10091.51,70899.95,68.96,138.31,97.35,80.99,86.96,89.80,81.88,182.84,68.07,102.43,179.78,103.72,9423.81,9327.16,9984.65,9947.09,70899.97,67.62,138.75
Si29,301065.44,304312.19,313869.56,312235.38,254299.83,193286.22,193286.22,188331.38,188752.06,188752.06,188097.64,188191.13,188191.11,189266.25,188985.77,192538.31,189032.52,310339.25,309292.25,318365.69,319434.94,254299.88,193286.19,193286.17
Si30,293461.00,297687.19,317015.72,316421.38,254299.84,209349.86,203302.80,177638.81,186911.55,184653.84,183167.31,180802.39,180782.00,181261.67,183009.66,184737.02,183917.88,307865.59,304843.00,325167.31,325562.25,254299.86,206481.73,204472.66
P31,432.80,442.43,57.43,55.02,1600.00,25.06,33.34,64.76,66.57,78.02,126.09,76.93,74.87,71.26,67.88,42.80,69.31,473.11,446.42,46.27,56.84,1600.00,23.02,34.84
Ca43,81905.44,81905.44,84692.05,84692.05,50499.97,458.13,549.78,1391.39,1825.06,1442.39,1392.00,1636.99,1514.79,1865.19,1528.19,1065.66,2051.23,81905.44,81905.44,84692.05,84692.06,50499.98,343.28,498.84
Ca44,83398.62,83928.73,86086.47,86295.00,50499.99,788.90,933.85,1788.69,2162.83,1809.26,1778.46,1968.13,1912.74,2280.17,1871.63,1444.80,2388.65,83971.72,83406.37,86432.12,85881.91,50499.99,718.36,890.87
Sc45,415.68,414.28,41.91,41.90,33.00,7.13,5.95,5.60,6.01,5.85,5.53,5.69,5.66,5.83,5.78,5.18,6.10,447.73,448.80,42.45,42.48,33.00,5.98,4.95
Ti47,468.81,465.67,42.13,43.92,14100.00,5.64,41.66,136.14,129.48,131.50,138.76,134.32,228.43,126.89,143.03,339.14,180.02,457.76,455.26,40.97,42.96,14100.00,6.81,39.43
Ti49,470.80,466.24,42.89,41.57,14100.00,4.00,38.04,135.46,127.93,128.94,140.25,131.20,230.19,128.08,139.86,333.14,178.44,461.02,458.60,41.21,40.00,14100.00,4.88,38.32
V51,432.31,441.09,36.21,36.39,425.00,3.34,6.37,2.735,1.908,2.411,3.44,2.659,5.10,1.841,2.868,3.97,2.492,451.21,445.66,36.83,36.97,425.00,3.24,6.26
