GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\2017-05-04 EMP UPDATED windows reselected - Do not edit pre 29.09.17 612 standard\run4.b
Created: Fri Sep 29 18:34:39 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-17,STD610-18,612-17,612-18,BCR-2g-09,SCO-1-09,SCO-2-09,4-01,4-02,4-03,4-04,4-05,4-06,4-07,4-08,4-09,4-10,STD610-19,STD610-20,612-19,612-20,BCR-2g-10,SCO-1-10,SCO-2-10,BCR-2g-10a
Li7,495.24,508.31,39.41,41.19,9.74,1.855,2.63,1.703,2.006,1.848,1.625,1.804,1.822,1.843,2.090,1.673,1.700,501.21,513.78,39.22,41.16,80.18,1.793,2.54,9.59
B11,239.99,245.29,34.23,34.38,15.64,14.72,13.76,11.86,11.55,10.92,10.79,10.49,10.24,10.35,10.17,9.37,9.71,255.13,260.45,34.17,34.42,2982.88,12.25,11.61,14.55
Na23,101833.91,103987.20,100519.39,103046.81,23704.65,39.36,104.11,101.02,105.54,108.58,116.98,102.96,104.20,106.51,109.45,76.08,99.18,101348.74,102523.16,99671.05,103615.23,78765.95,40.35,105.59,23117.19
Mg24,493.93,512.03,68.30,67.72,24220.45,354352.38,353125.34,346576.03,352463.44,344974.44,347366.66,345621.97,345578.28,350314.81,347504.22,344761.50,351567.63,494.08,505.56,67.10,68.92,10375.00,362469.09,364540.25,24153.78
Mg25,518.13,540.52,67.54,68.53,25878.36,384260.34,379267.59,363516.72,376103.22,370111.72,372741.16,363296.72,365348.69,365548.06,362613.72,359734.75,369205.75,504.53,518.62,67.73,68.23,6477.78,376733.16,371759.84,25108.65
Mg26,511.40,524.28,66.91,69.30,25594.38,376859.56,372451.44,363886.06,371049.00,366024.53,370744.50,358193.00,362170.03,360559.09,363733.66,354590.03,362518.28,508.97,514.95,67.48,68.44,3598.89,379821.66,377123.00,25035.90
Al27,10186.86,10209.71,10755.24,10723.68,80313.05,72.19,133.48,188.52,148.98,152.06,167.03,172.68,156.55,153.38,148.31,53.55,196.09,10371.26,10131.22,10865.92,10630.68,30498.16,71.12,132.15,79027.09
Si29,330306.72,333993.59,335544.94,338983.78,269617.53,193286.19,193286.19,190762.02,196932.22,190762.02,190434.83,190201.09,190247.84,188424.83,188845.50,189172.72,190481.55,329802.31,330815.91,332868.94,341199.19,10600.69,193286.17,193286.17,258886.84
Si30,324745.47,332175.38,334765.47,339876.59,275809.63,198587.48,199798.98,182778.58,194615.58,190950.39,188099.94,188452.19,190548.00,191523.45,188871.45,185967.61,192398.63,326923.44,325919.47,333063.97,340936.59,<-93458.24,200806.03,202641.67,259616.81
P31,370.39,377.03,45.42,48.03,1406.18,14.13,24.65,52.55,60.65,77.58,32.39,72.42,56.75,53.61,79.11,57.20,59.97,385.21,376.76,45.01,48.10,-162.34,13.86,23.64,1381.60
Ca43,81905.47,81905.47,85049.43,85049.44,51029.66,355.32,514.84,1622.40,1747.00,1742.00,1376.14,1684.40,1634.84,1767.84,1472.60,1670.69,1621.50,81905.45,81905.45,85049.43,85049.42,51029.65,364.86,467.10,51029.65
Ca44,80989.26,81578.89,85104.13,84972.53,49864.89,684.75,803.29,1898.12,2061.35,2061.55,1709.97,1968.73,1947.43,2055.86,1775.21,2006.53,1929.13,82373.16,80505.27,85331.08,84782.82,28580.48,672.58,806.54,50417.04
Sc45,403.77,406.86,39.72,40.07,32.67,6.32,5.29,6.39,6.51,6.37,5.75,6.43,6.33,6.44,6.24,6.31,6.45,419.51,406.73,40.34,39.48,-7.54,6.01,4.99,33.67
