GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\Elkhaligi_Momo_LA_EMP UPdated- non zip files may have been corrupted\2017-04-20 EMP UPDATED\run2.b
Created: Mon Aug 21 12:01:05 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-03,STD610-04,612-03,612-04,BCR-2g-02,SCO-1-02,SCO-2-02,FS1-1,FS1-2,FS1-3,FS1-4,FS1-5,FS1-6,FS1-7,FS1-8,FS1-9,FS1-10,STD610-05,STD610-06,612-05,612-06,BCR-2g-03,SCO-1-03,SCO-2-03
Li7,474.94,475.02,41.20,42.02,9.58,1.820,2.48,1.399,0.878,0.935,1.981,2.605,2.851,2.616,2.693,2.448,1.587,483.98,483.15,40.87,42.34,10.24,1.806,2.61
B11,129.27,130.80,34.06,35.68,21.27,29.87,28.91,24.09,22.02,21.58,20.81,19.96,19.95,19.14,19.50,17.86,17.90,160.56,164.13,33.79,35.85,21.14,24.71,24.81
Na23,97366.48,96580.89,97427.14,100606.49,22702.34,38.55,99.07,111.25,89.96,90.76,93.65,93.55,95.21,92.44,92.35,204.73,94.26,97616.80,98027.69,96710.43,101182.63,23343.41,37.32,97.21
Mg24,548.52,555.87,76.22,79.12,26792.23,404404.00,402484.56,395265.78,409251.53,417705.72,392924.03,396575.50,397296.84,393280.97,397353.94,373935.63,386797.44,551.49,561.38,75.96,79.14,27360.40,399583.69,399160.16
Mg25,560.66,578.22,77.24,77.91,28392.00,434262.22,431223.44,424163.72,440672.66,447207.00,426896.84,427245.78,428667.84,424475.47,430995.91,397800.50,421461.63,580.08,582.80,74.49,81.09,28730.92,427921.09,431782.06
Mg26,556.04,563.95,77.67,77.31,27865.49,421686.72,414321.78,415125.88,434578.41,438805.22,406389.91,414582.13,423924.25,415801.16,420947.09,394436.13,413280.41,579.37,585.13,75.51,79.98,29453.33,428304.75,431961.28
Al27,9932.60,9922.58,10499.70,10574.34,73987.09,71.03,137.50,33.14,22.63,22.84,13.29,15.80,15.88,15.42,15.83,101.78,25.94,9933.57,9901.75,10470.79,10599.36,75144.17,66.91,132.45
Si29,319449.47,318870.31,335192.38,346727.53,260768.95,193286.20,193286.20,194221.08,193192.73,195623.39,192164.34,193613.41,192211.11,191977.39,193239.47,188752.06,186975.80,327014.41,325833.00,332538.06,348899.59,270366.47,193286.22,193286.22
Si30,300792.19,297366.34,334544.31,348013.38,254491.41,204655.16,201211.80,174612.80,178859.38,183928.06,179067.38,178750.55,179689.06,176890.58,180615.44,178319.67,173295.83,311012.78,310583.56,328746.78,354386.50,269682.81,203548.19,199076.36
P31,445.73,433.10,51.18,60.90,1527.86,26.09,29.83,27.89,51.54,57.26,44.66,64.78,68.12,63.75,67.70,109.10,34.54,492.94,489.06,50.98,60.75,1740.26,20.30,30.54
Ca43,81905.45,81905.45,84692.06,84692.06,51029.65,401.73,499.79,93.41,75.41,85.29,98.17,109.93,95.20,67.93,92.20,315.13,72.96,81905.45,81905.45,84692.06,84692.06,51029.65,415.02,530.57
Ca44,81939.42,81383.43,84106.85,85444.51,49975.52,806.86,970.99,477.90,504.97,490.39,493.92,515.85,506.28,507.39,510.49,678.05,478.72,82147.15,81368.13,84441.11,84941.80,51210.95,759.55,876.04
Sc45,357.33,355.94,38.89,39.37,31.02,8.05,6.98,5.38,5.44,5.40,5.83,5.66,5.85,5.65,5.74,5.37,5.06,377.48,376.50,38.93,39.28,31.43,6.78,6.03
Ti47,476.96,482.61,48.34,47.97,14669.33,9.52,42.14,47.12,24.27,25.81,106.76,101.59,101.70,99.80,105.74,187.01,69.99,507.92,504.31,46.24,50.44,15723.88,8.52,44.40
Ti49,521.56,521.68,46.70,49.87,15861.55,6.80,41.02,50.24,23.97,24.27,110.15,110.17,110.78,106.93,108.45,204.04,71.77,547.19,538.29,47.97,48.19,16881.42,6.40,42.52
V51,449.20,445.60,37.83,38.72,421.05,3.16,6.09,5.95,5.00,5.14,3.68,3.62,3.80,3.62,3.68,11.54,5.78,456.62,456.29,37.33,39.23,438.87,3.11,5.94
Cr53,437.09,446.07,39.48,40.43,16.11,148.67,290.35,258.79,302.41,310.27,258.15,223.27,220.64,223.47,225.57,159.36,220.00,456.99,468.79,39.63,40.14,17.29,154.22,300.49
Mn55,421.88,424.52,37.80,39.29,1516.77,1069.58,928.81,778.23,693.74,701.28,990.36,1163.20,1187.29,1157.40,1194.73,1119.63,892.46,437.43,436.59,37.76,39.22,1586.25,1078.99,960.33
Co59,380.92,382.77,32.70,33.44,35.61,138.63,141.84,119.05,117.66,119.49,145.74,147.98,152.70,148.10,151.10,167.01,137.16,391.30,389.65,32.18,33.98,37.28,140.68,144.44
Ni60,415.95,416.28,33.63,35.63,11.42,2840.84,2966.14,2581.72,2581.69,2599.78,3020.42,3093.88,3120.78,3082.53,3113.69,2589.14,2647.01,410.69,411.83,34.32,34.65,11.55,2800.47,2915.89
Ni62,396.74,405.15,33.45,35.82,15.41,2775.49,2898.57,2534.29,2567.04,2598.00,3154.81,3060.81,3153.58,3091.03,3143.58,2647.96,2728.89,416.71,421.97,35.14,33.73,15.89,2920.52,3092.97
Cu63,436.19,435.42,36.01,37.63,17.59,0.766,4.06,2.64,0.589,0.637,1.383,1.258,1.385,1.271,1.268,5.37,2.130,437.02,437.05,36.39,37.04,18.50,0.837,4.29
Zn66,451.77,461.35,36.90,39.23,179.08,59.81,68.79,58.22,42.27,43.11,59.45,67.66,69.04,68.02,68.30,119.77,61.47,437.89,444.57,38.21,37.53,173.42,54.18,65.40
Zn67,430.64,435.93,37.32,38.68,215.97,51.68,60.81,52.19,36.90,38.51,54.59,62.10,63.62,61.99,63.24,111.22,56.10,446.21,464.07,37.58,38.29,220.33,50.84,62.80
Ga69,416.44,423.46,35.54,36.41,79.16,0.0490,0.0743,0.0965,0.0370,0.0296,0.0436,0.0595,0.309,0.0560,0.0590,0.314,0.0781,425.30,432.70,35.10,36.84,77.18,<0.0184,0.1018
Sr88,519.57,519.82,79.32,79.30,331.64,<0.0066,<0.0087,0.1167,<0.0019,0.0032,0.0044,<0.00178,0.0092,<0.0031,<0.0039,0.0090,<0.00238,513.01,520.06,78.93,79.73,335.26,<0.0090,<0.0094
Y89,503.93,501.72,41.33,41.04,30.90,0.0392,0.0549,0.224,0.0034,<0.0032,<0.0045,0.0036,0.0153,0.0054,0.0045,0.0127,0.0024,507.07,496.71,41.14,41.28,31.26,0.0323,0.0520
Zr90,502.93,498.23,42.35,41.80,173.93,0.046,0.0352,0.103,0.303,0.325,0.245,0.360,6.89,0.305,0.330,0.164,0.143,493.12,486.72,42.16,42.04,174.25,0.067,0.0432
Nb93,505.58,503.47,42.17,42.47,13.52,<0.0079,0.0060,0.1420,0.223,0.226,0.194,0.205,0.227,0.221,0.207,0.0137,0.1125,504.45,500.44,42.11,42.51,13.71,<0.0076,<0.0059
