GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\For edit 2017-04-20 EMP UPDATED Windows reselected\run2.b
Created: Fri Sep 29 17:15:07 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-03,STD610-04,612-03,612-04,BCR-2g-02,SCO-1-02,SCO-2-02,FS1-1,FS1-2,FS1-3,FS1-4,FS1-5,FS1-6,FS1-7,FS1-8,FS1-9,FS1-10,STD610-05,STD610-06,612-05,612-06,BCR-2g-03,SCO-1-03,SCO-2-03
Li7,458.09,456.29,39.42,40.04,9.00,1.749,2.384,1.339,0.839,0.892,1.887,2.476,2.705,2.478,2.546,2.310,1.495,436.26,433.84,36.56,37.73,9.00,1.683,2.432
B11,36.80,37.25,9.70,10.17,6.00,8.65,8.39,7.01,6.42,6.30,6.09,5.86,5.87,5.64,5.76,5.29,5.32,45.97,47.01,9.68,10.28,6.00,7.49,7.54
Na23,104714.47,103694.13,104426.48,107653.04,24000.00,41.80,107.50,120.77,97.71,98.63,101.82,101.76,103.61,100.64,100.60,223.11,102.78,102070.47,102334.54,100796.74,105288.45,23999.99,40.80,106.34
Mg24,446.94,452.38,61.95,64.23,21499.98,333005.69,331705.16,326031.97,337855.06,345128.63,324930.72,328232.09,329112.56,326067.72,329730.50,310567.78,321530.75,440.11,447.44,60.46,62.92,21499.99,333925.63,333870.19
Mg25,430.16,443.34,59.18,59.66,21499.99,337497.66,335618.25,330601.28,343968.13,349578.78,334192.91,334960.22,336574.28,333780.31,339416.41,313747.31,332913.44,439.90,441.65,56.41,61.36,21499.99,341165.00,344786.00
Mg26,438.90,443.78,60.93,60.46,21499.99,333198.69,327043.47,327340.03,342323.19,345291.59,319448.13,325543.00,332524.41,325803.31,329479.88,308394.59,322775.50,433.17,436.01,56.07,59.19,21499.99,332275.19,334729.22
Al27,9652.50,9634.15,10185.39,10248.61,70899.98,69.81,135.30,32.65,22.32,22.56,13.14,15.64,15.73,15.30,15.72,101.21,25.82,9505.88,9466.71,10001.51,10114.96,70899.97,67.09,132.97
Si29,317510.66,316253.31,331727.16,342406.59,254299.89,193286.13,193286.13,194221.02,193192.69,195623.34,192164.31,193613.34,192211.03,191977.33,193239.44,188752.02,186975.75,313444.13,311651.84,317393.81,332308.06,254299.84,193286.20,193286.20
Si30,307808.41,303289.50,340069.88,352579.28,254299.97,209488.16,205715.06,178304.89,182419.78,187361.22,182187.28,181642.48,182372.16,179311.02,182860.92,180313.22,175015.73,300470.03,299024.00,315421.25,338848.44,254299.92,204026.77,199291.66
P31,485.46,468.35,54.95,64.92,1600.00,27.92,31.75,29.54,54.30,60.00,46.55,67.16,70.25,65.39,69.06,110.67,34.84,472.78,465.37,48.13,56.90,1600.00,19.79,29.60
Ca43,81905.45,81905.45,84692.06,84692.06,50499.98,408.14,508.80,95.30,77.09,87.36,100.77,113.07,98.13,70.16,95.43,326.84,75.83,81905.45,81905.45,84692.06,84692.06,50499.98,436.78,559.57
Ca44,84150.49,83459.34,86128.27,87372.34,50499.97,836.05,1006.74,495.81,524.22,509.40,513.38,536.51,526.89,528.38,531.94,706.98,499.46,82327.67,81429.95,84384.05,84762.65,50499.97,795.45,918.02
Sc45,385.21,383.45,41.87,42.35,33.00,8.78,7.63,5.88,5.96,5.93,6.41,6.23,6.44,6.23,6.33,5.93,5.60,401.84,400.47,41.38,41.72,33.00,7.58,6.74
