GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\2017-04-20 EMP UPDATED Windows reselected- Do not edit pre 29.09.17 612 standard\run3.b
Created: Fri Sep 29 18:23:58 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-05,STD610-06,612-05,612-06,BCR-2g-03,SCO-1-03,SCO-2-03,FS4-1,FS4-2,FS4-3,FS4-4,FS4-5,FS4-6,FS4-7,FS4-8,FS4-9,FS4-10,STD610-07,STD610-08,612-07,612-08,BCR-2g-04,SCO-1-04,SCO-2-04
Li7,468.93,467.22,39.68,41.00,9.87,1.764,2.57,2.347,2.698,2.160,2.183,2.573,2.723,2.819,2.294,2.569,2.599,467.04,467.33,39.69,40.73,9.90,1.626,2.44
B11,162.10,163.77,33.66,35.30,20.49,24.08,23.96,21.31,18.05,17.56,16.54,16.66,16.06,15.67,15.72,14.60,14.85,188.77,191.93,33.63,35.01,18.92,21.04,20.82
Na23,100507.05,100920.80,99857.24,104393.59,23968.25,38.88,101.39,222.98,246.26,89.40,92.73,237.26,129.86,129.17,122.90,99.84,96.04,100188.45,102042.65,100237.55,103060.29,24454.69,40.20,102.77
Mg24,485.08,492.73,66.84,69.74,23993.00,355463.34,355310.63,348628.16,355139.19,368378.19,361085.97,343894.47,362278.03,354283.22,362883.00,350251.66,344871.41,488.84,496.34,67.19,68.81,24575.44,365530.31,364561.38
Mg25,517.02,519.32,66.12,70.90,25374.21,383107.56,386273.94,380634.69,378224.38,391559.97,388200.66,373388.00,395013.78,381912.22,386442.66,369466.28,372264.63,505.05,521.38,66.36,69.70,25353.63,390967.69,388945.63
Mg26,511.68,514.30,66.89,69.84,25499.22,374928.09,376839.19,372628.44,365487.28,390130.81,380746.19,365869.59,383051.31,376593.22,380302.88,363583.84,368183.69,482.40,516.22,66.43,69.70,25238.36,377957.75,379180.66
Al27,10113.83,10059.99,10690.89,10820.44,76356.80,68.98,136.68,136.37,115.51,11.60,10.82,115.15,22.29,21.72,28.38,29.62,30.70,10022.14,10116.56,10702.13,10784.47,76301.98,68.57,133.03
Si29,324497.19,322558.22,331233.59,345987.19,266590.25,193286.17,193286.17,191556.67,193987.36,193519.89,193379.69,193099.20,193660.14,192538.30,192024.14,191883.89,186975.77,321515.41,321808.38,333360.72,340678.63,268221.72,193286.20,193286.20
Si30,310185.78,308371.84,328138.41,351817.84,265815.13,203269.95,198593.31,179190.91,182686.08,184837.05,184945.19,180643.66,185148.48,183320.38,187231.94,179856.22,175857.31,305998.53,308682.84,327761.75,347400.22,265732.75,203817.09,201804.97
P31,435.31,424.34,43.96,51.16,1445.43,16.90,25.54,40.81,50.95,27.96,26.34,44.42,40.49,40.60,46.10,49.62,40.76,384.96,374.86,44.27,49.32,1308.52,13.56,23.43
