GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\For edit 2017-04-20 EMP UPDATED Windows reselected\run3.b
Created: Fri Sep 29 17:18:18 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-05,STD610-06,612-05,612-06,BCR-2g-03,SCO-1-03,SCO-2-03,FS4-1,FS4-2,FS4-3,FS4-4,FS4-5,FS4-6,FS4-7,FS4-8,FS4-9,FS4-10,STD610-07,STD610-08,612-07,612-08,BCR-2g-04,SCO-1-04,SCO-2-04
Li7,432.52,430.86,36.43,37.64,9.00,1.686,2.457,2.245,2.581,2.067,2.089,2.463,2.606,2.699,2.197,2.460,2.490,429.29,429.47,36.31,37.26,9.00,1.559,2.344
B11,47.28,47.93,9.84,10.36,6.00,7.42,7.41,6.62,5.63,5.50,5.21,5.27,5.11,5.01,5.05,4.71,4.82,59.15,60.46,10.61,11.11,6.00,7.08,7.06
Na23,102195.74,102490.02,100859.85,105312.76,23999.99,40.79,106.26,233.50,257.67,93.46,96.87,247.63,135.43,134.60,127.96,103.86,99.84,99817.06,101546.41,99216.08,101892.47,23999.99,41.58,106.23
Mg24,441.71,448.05,60.44,62.97,21499.99,333496.09,333013.16,326416.28,332171.91,344200.81,337039.69,320661.44,337453.16,329663.41,337313.84,325232.47,319901.09,434.60,440.64,59.31,60.66,21499.99,336917.75,335665.66
Mg25,442.59,444.58,56.37,60.44,21499.99,340508.53,343460.00,338581.34,336572.53,348579.94,345728.97,332671.72,352082.31,340543.41,344723.94,329715.34,332349.16,432.69,446.71,56.62,59.47,21499.99,349917.16,348253.34
Mg26,434.90,437.39,56.68,59.22,21499.99,331834.75,333843.59,330428.03,324405.16,346609.94,338596.44,325679.16,341301.41,335870.50,339506.34,324894.66,329323.72,414.25,443.57,56.88,59.71,21499.99,340047.75,341482.56
Al27,9487.97,9437.86,9988.01,10109.46,70899.97,67.11,133.02,132.77,112.51,11.30,10.55,112.32,21.75,21.21,27.72,28.94,30.01,9408.66,9497.70,10005.67,10083.08,70899.97,67.22,130.47
Si29,313244.59,311257.84,318169.03,332218.56,254299.86,193286.14,193286.14,191556.63,193987.31,193519.86,193379.66,193099.17,193660.09,192538.27,192024.09,191883.84,186975.73,308460.19,308631.84,318255.22,325126.78,254299.91,193286.14,193286.14
Si30,299838.94,298090.97,315871.53,338671.94,254299.95,204098.86,199473.97,180049.55,183626.94,185855.39,186030.69,181769.09,186368.97,184595.28,188602.09,181237.95,177272.55,295883.19,298484.22,315606.84,334523.09,254299.95,205907.75,203949.92
P31,474.52,465.59,48.34,56.63,1600.00,19.77,30.08,48.37,60.78,33.57,31.82,54.01,49.54,49.98,57.09,61.83,51.10,465.26,455.60,53.88,60.36,1600.00,17.61,30.62
Ca43,81905.47,81905.47,84692.09,84692.08,50499.99,436.68,560.41,397.37,332.84,109.05,97.77,315.00,112.60,106.02,113.41,86.39,115.79,81905.45,81905.45,84692.07,84692.08,50499.98,427.03,571.26
Ca44,82103.51,81135.52,84264.19,84695.67,50499.99,795.83,919.16,747.62,718.13,465.09,483.55,715.06,500.73,498.72,510.48,483.16,490.77,80843.01,82159.04,85452.76,85625.93,50499.99,768.23,930.82
Sc45,403.86,401.56,41.32,41.76,33.00,7.57,6.74,5.87,5.91,6.07,6.13,5.79,5.64,5.50,5.19,4.97,5.11,415.98,421.66,42.36,42.62,33.00,7.47,6.32
Ti47,467.81,461.87,42.36,45.88,14099.99,8.09,41.71,129.30,111.24,121.84,114.71,113.78,122.41,119.92,136.89,137.08,139.95,457.67,460.20,44.00,44.30,14099.99,7.56,40.31
Ti49,468.87,457.80,40.98,40.83,14099.99,5.67,37.70,127.71,109.75,114.98,112.76,112.95,121.96,117.02,133.89,134.14,135.53,463.14,465.38,40.48,42.08,14099.99,6.69,37.58
V51,451.92,448.96,36.84,38.50,425.00,3.20,6.11,11.56,12.18,3.88,3.85,12.09,4.64,4.65,6.24,5.71,5.78,438.83,437.97,36.26,36.94,425.00,3.24,6.40
Cr53,461.08,470.33,40.33,40.17,17.00,161.41,314.18,412.51,440.76,239.05,237.09,442.55,318.00,313.67,273.48,128.43,128.84,471.70,464.99,42.67,41.17,17.00,168.32,321.45
Mn55,436.35,433.85,37.43,38.82,1550.00,1119.99,996.18,1070.68,1116.39,1073.43,1115.56,1178.19,1237.36,1224.18,961.36,1081.07,1063.16,430.43,434.30,37.40,37.99,1550.00,1162.03,1007.16
Co59,410.55,406.08,33.52,35.16,38.00,152.04,155.69,160.62,173.04,154.73,158.48,171.59,165.91,166.71,154.80,153.76,149.83,403.57,400.46,32.66,33.60,38.00,153.45,157.70
Ni60,467.17,468.13,39.07,39.40,13.00,3351.27,3495.57,3426.44,3576.34,3756.43,3690.84,3595.44,3793.68,3822.77,3201.51,3406.95,3297.77,470.75,477.62,38.68,40.66,13.00,3455.08,3654.32
Ni62,352.10,353.67,28.86,28.22,13.00,2522.57,2661.15,2572.51,2691.44,2886.14,2886.23,2779.04,2929.61,2941.11,2469.03,2574.84,2510.97,357.83,358.95,27.96,31.41,13.00,2618.67,2680.54
