GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\For edit 2017-04-20 EMP UPDATED Windows reselected\run4a.b
Created: Fri Sep 29 17:20:04 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-07,STD610-08,612-07,612-08,BCR-2g-04,SCO-1-04,SCO-2-04,LK1-1,LK1-2,LK1-3,LK1-4,LK1-5,LK1-6,LK1-7,LK1-8,LK1-9,LK1-10,STD610-09,STD610-10,612-09,612-10,BCR-2g-05,SCO-1-05,SCO-2-05
Li7,424.15,425.61,36.11,37.15,9.00,1.559,2.346,2.775,2.757,2.680,2.762,2.725,2.620,1.833,2.444,1.726,2.551,424.24,430.19,36.09,37.48,9.00,1.575,2.338
B11,61.23,62.07,10.80,11.21,6.00,7.00,6.88,5.62,5.25,5.22,4.88,4.84,5.10,5.11,4.86,5.23,5.26,69.80,70.66,11.39,11.86,6.00,6.74,6.61
Na23,98470.58,100517.93,98507.57,101547.72,23999.99,41.62,106.38,310.98,248.08,239.05,245.99,246.11,239.39,134.95,83.04,113.79,87.78,99320.93,102381.16,99083.94,102572.20,23999.99,41.93,104.38
Mg24,434.18,440.32,59.26,60.64,21499.99,336084.25,334007.50,322351.31,310387.84,312968.84,307941.41,313351.69,305731.22,332475.13,283123.81,339135.28,334473.16,417.16,436.22,58.23,59.73,21499.99,327813.13,318106.00
Mg25,432.31,446.41,56.28,59.46,21499.99,349042.00,346513.06,337469.53,324659.66,325675.28,320720.09,320718.59,325508.03,355387.91,300497.28,347164.50,346390.41,423.94,449.48,58.06,56.53,21499.99,344922.50,334401.75
Mg26,414.70,443.93,56.89,59.73,21499.99,339028.72,339439.13,324088.00,313063.72,315868.22,310912.41,317141.47,311396.13,335659.00,291434.44,339859.31,334517.00,419.32,428.89,53.70,56.83,21500.00,329108.38,323547.72
Al27,9445.05,9525.26,10025.00,10092.83,70899.98,66.97,129.50,154.21,107.37,109.93,102.93,101.14,107.36,36.61,6.70,21.26,17.99,9421.33,9460.29,9856.02,9989.55,70899.98,66.20,126.67
Si29,305189.97,306174.63,316530.22,324261.75,254299.92,193286.20,193286.20,192912.27,190341.34,191136.00,191229.48,190902.27,190575.06,194034.09,187396.45,193940.63,195109.23,304573.50,310705.66,320410.09,325178.59,254299.91,193286.20,193286.20
Si30,294140.94,297164.31,314368.44,334028.66,254299.89,205657.97,203455.17,184828.23,186371.22,183903.39,182603.66,182959.08,184054.05,190343.30,177242.11,187806.34,189621.27,296869.78,307314.22,322443.94,330826.91,254299.95,205344.11,201097.64
P31,460.38,452.01,53.53,60.20,1600.00,17.61,30.62,40.27,50.26,49.07,53.73,55.28,51.36,20.49,54.77,75.67,95.16,454.68,450.95,47.64,51.65,1600.00,19.95,26.89
Ca43,81905.44,81905.44,84692.05,84692.05,50499.97,438.91,571.08,379.68,312.79,294.62,308.89,295.56,322.24,153.26,85.87,77.91,64.24,81905.44,81905.44,84692.05,84692.06,50499.98,330.51,464.81
Ca44,80895.45,82198.99,85423.79,85639.79,50499.98,766.01,925.45,742.73,672.30,676.39,675.09,661.33,661.79,533.43,456.13,464.83,445.59,80695.81,82148.61,83660.82,84091.38,50500.00,739.65,835.56
Sc45,419.99,424.71,42.62,42.72,33.00,7.43,6.25,5.65,5.57,5.53,5.23,5.34,5.34,5.00,5.11,4.93,4.97,414.22,419.68,41.51,41.60,33.00,6.88,5.59
Ti47,455.69,458.70,44.01,44.25,14099.99,7.66,40.18,109.29,139.02,141.22,133.58,133.27,139.36,60.59,104.83,76.57,85.42,461.41,458.85,42.17,43.49,14099.99,7.88,40.70
Ti49,460.63,463.49,40.29,41.68,14099.99,6.68,37.29,105.73,137.61,139.39,131.54,132.42,138.62,57.37,101.33,74.62,85.28,444.77,455.11,38.59,39.43,14100.00,7.08,37.31
V51,434.36,434.63,36.10,36.84,425.00,3.24,6.40,13.80,13.40,13.35,13.38,13.45,13.20,6.79,3.87,5.73,3.57,431.69,436.91,35.97,36.34,425.00,3.16,5.96
Cr53,490.72,481.06,43.86,42.13,17.00,170.56,321.71,291.76,196.92,188.08,188.13,191.99,194.32,376.32,67.64,304.42,199.02,442.38,447.34,37.03,39.17,17.00,153.66,284.79
Mn55,431.29,434.95,37.41,38.01,1550.00,1158.28,1000.66,1184.98,1291.30,1254.26,1289.61,1328.32,1245.03,1089.67,1847.99,932.51,1002.08,422.54,431.83,36.38,37.96,1550.00,1123.09,965.04
Co59,400.47,398.15,32.40,33.53,38.00,153.34,157.46,179.54,190.94,186.19,190.03,192.65,189.74,160.67,174.71,145.31,157.32,393.18,399.66,32.94,33.72,38.00,149.98,150.13
Ni60,478.46,484.79,39.04,41.16,13.00,3478.19,3663.54,3479.17,3182.41,3099.71,3147.38,3197.59,3087.25,3825.73,1386.96,3454.42,3676.38,469.43,479.43,38.65,39.17,13.00,3397.10,3425.35
Ni62,344.16,345.30,26.83,30.26,13.00,2514.07,2566.92,2550.07,2292.53,2270.29,2285.61,2333.02,2218.62,2757.63,990.88,2519.44,2690.35,331.02,346.07,28.22,29.32,13.00,2452.65,2516.66
Cu63,497.56,498.53,40.85,41.22,21.00,1.086,5.05,8.72,7.13,6.95,7.10,7.37,6.84,5.37,1.007,2.005,1.171,487.79,503.57,39.94,41.15,21.00,1.187,4.76
Zn66,315.09,321.96,26.83,26.89,125.00,43.31,50.36,86.11,94.49,90.95,94.69,97.09,90.77,50.35,114.51,45.61,50.79,312.91,324.95,26.68,26.25,125.00,42.33,48.87
Zn67,259.24,259.36,21.25,22.25,125.00,33.18,38.10,62.92,69.40,70.04,72.52,73.01,68.43,37.46,89.42,34.84,37.20,256.95,270.67,21.86,22.60,125.00,31.73,37.70
Ga69,134.01,135.22,11.35,11.43,23.00,0.0103,0.0287,0.1166,0.1023,0.0986,0.1113,0.1147,0.1115,0.0307,0.0298,0.0243,0.0125,133.36,137.11,11.25,11.39,23.00,0.0119,0.0235
Sr88,530.18,535.28,82.00,81.81,342.00,<0.0140,<0.0071,<0.0048,0.0353,0.0319,0.0125,0.0079,0.0067,0.0048,0.0294,0.0050,<0.0042,522.11,532.15,80.47,81.33,342.00,<0.0113,0.0056
Y89,570.59,567.93,47.23,46.56,35.00,0.0426,0.071,0.0168,0.0163,0.0138,0.0165,0.0142,0.0176,0.0042,<0.0037,0.0027,0.0048,547.26,547.08,45.65,45.84,35.00,0.0266,0.0550
Zr90,516.97,516.75,44.82,44.50,184.00,0.081,0.049,0.097,0.113,0.118,0.118,0.118,0.137,0.142,0.339,0.248,0.826,520.35,523.75,44.86,45.70,184.00,0.052,0.0433
