GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\For edit 2017-04-20 EMP UPDATED Windows reselected\run1.b
Created: Fri Sep 29 17:09:54 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-01,STD610-02,612-01,612-02,BCR-2g-01,SCO-1-01,SCO-2-01,RKV1-1,RKV1-2,RKV1-3,RKV1-4,RKV1-5,RKV1-6,RKV1-7,RKV1-8,RKV1-9,RKV1-10,STD610-03,STD610-04,612-03,612-04,BCR-2g-02,SCO-1-02,SCO-2-02
Li7,451.26,447.47,39.46,40.11,9.00,1.736,2.344,2.362,2.344,2.497,2.434,0.661,1.656,1.088,1.301,1.521,1.498,454.89,454.32,39.44,39.97,9.00,1.756,2.393
B11,26.76,26.27,11.39,11.21,6.00,10.12,9.69,5.18,5.08,5.12,5.15,5.94,5.97,7.39,5.81,7.97,6.26,32.70,34.05,9.18,9.89,6.00,9.04,9.16
Na23,104908.63,103506.72,108205.28,108674.65,24000.00,41.44,106.96,69.13,67.98,68.25,71.89,67.86,20.99,61.90,95.20,77.30,52.22,105237.20,104442.58,104870.61,107544.06,23999.99,41.86,107.52
Mg24,466.29,464.76,63.88,66.30,21499.99,323414.53,321522.53,317138.19,318027.31,317986.97,323013.13,334030.56,325174.44,328210.53,332517.13,313442.66,326861.84,447.94,451.76,62.24,64.31,21499.99,333235.69,331760.81
Mg25,454.71,453.48,60.64,60.99,21500.00,323202.16,323469.91,315488.09,316356.91,315923.94,322174.91,335083.47,324282.69,330478.19,333761.97,318329.66,332319.44,430.86,444.03,59.42,59.51,21500.00,336314.81,334178.75
Mg26,454.90,446.37,60.45,62.18,21499.99,320774.59,317208.13,315877.91,316875.63,317130.59,314765.06,331025.41,322762.34,326501.50,328889.03,314996.53,328365.78,439.83,441.47,60.99,60.73,21499.99,334121.28,327983.47
Al27,9578.73,9462.68,10118.75,10152.19,70899.96,68.40,132.42,9.32,9.33,9.17,9.04,5.93,5.18,18.65,15.24,21.46,8.65,9628.22,9635.52,10195.72,10259.26,70899.98,70.05,135.72
Si29,314261.00,308324.25,338500.84,343698.69,254299.97,193286.17,193286.17,192164.31,192070.86,192818.73,192164.33,194501.52,195015.70,193800.36,194314.53,191696.88,193987.34,319587.03,317754.69,333677.00,343572.13,254299.84,193286.17,193286.17
Si30,310718.00,317189.91,338220.94,340600.91,254299.92,211432.44,204900.42,207099.00,215307.25,213350.78,212212.05,217620.30,217278.94,228425.95,201772.22,221936.55,198136.28,325879.41,317218.47,351018.16,359283.44,254299.89,207427.33,200840.70
P31,464.29,464.43,47.64,56.56,1600.00,31.52,35.63,56.63,60.19,59.45,58.80,83.96,34.15,59.13,86.41,47.98,20.47,488.98,471.25,56.14,64.94,1600.00,28.00,31.85
